row_A,openhermes_index,source,category,turns,chars,group_Llama-8B,group_Llama-70B,group_Qwen-14B
112,591855,,,3,768,2,0,0
113,599127,,,3,1394,2,1,0
114,374553,glaive-code-assist,,2,996,0,1,0
115,443353,CogStackMed,,2,664,0,1,0
116,907693,,,3,1775,2,0,0
117,655787,,,3,493,2,0,1
118,284957,glaive-code-assist,,2,904,0,1,1
119,242311,glaive-code-assist,,2,1410,0,1,0
120,900893,,,3,1474,2,0,0
121,738184,,,2,490,0,1,0
122,854192,,,3,1816,1,1,0
123,277561,glaive-code-assist,,2,973,0,1,0
124,668620,,,3,510,2,1,1
125,973724,,,2,5738,2,1,0
126,748855,,,3,867,2,1,0
127,433717,,,2,739,0,1,0
128,510945,,,3,630,2,1,1
129,79477,CamelAI,,2,1181,0,0,1
130,866939,,,3,1197,2,1,0
131,59171,CamelAI,,2,1505,0,0,1
132,725446,,,2,1964,0,1,0
133,428549,,,2,907,0,1,0
134,321042,glaive-code-assist,,2,1137,0,0,1
135,298836,glaive-code-assist,,2,1089,0,1,0
136,438665,,,2,663,0,1,0
137,577825,,,2,2421,0,0,0
138,555770,,,3,1334,2,1,0
139,748940,,,3,1230,1,1,0
140,324849,glaive-code-assist,,2,672,0,1,1
141,136439,cot_alpaca_gpt4,,2,1097,0,0,0
142,525460,,,3,1212,1,1,0
143,310228,glaive-code-assist,,2,1481,0,1,1
144,978517,,,2,4309,0,1,1
145,55967,CamelAI,,2,972,0,0,1
146,131789,cot_alpaca_gpt4,,2,111,0,0,1
147,527913,,,3,2786,2,1,0
148,623441,,,3,1212,1,0,1
149,529440,,,3,10406,1,1,1
150,690085,,,3,2108,2,1,0
151,124487,cot_alpaca_gpt4,,2,187,0,0,0
152,528542,,,3,1530,1,1,0
153,811699,,,3,2332,2,1,0
154,641635,,,3,3846,2,1,1
155,165674,EvolInstruct_70k,,2,829,0,0,0
156,917565,platypus,,2,977,0,0,1
157,393425,glaive-code-assist,,2,1390,2,1,0
158,368137,glaive-code-assist,,2,2292,0,1,1
159,481874,metamath,,2,760,0,0,1
160,654369,,,3,452,2,1,1
161,187859,EvolInstruct_70k,,2,2120,0,0,1
162,148540,cot_alpaca_gpt4,,2,351,0,0,1
163,398531,GPT-4 Comparison Data,,2,552,0,0,0
164,896262,,,3,1120,2,0,0
165,309775,glaive-code-assist,,2,2387,0,1,0
166,604279,,,3,383,1,0,1
167,706873,,,3,2812,1,1,0
168,35051,airoboros2.2,orca,2,875,0,0,1
169,841928,,,3,890,2,1,0
170,565017,,,3,375,2,1,1
171,845926,,,2,1502,2,1,0
172,859274,,,3,1639,1,0,0
173,515894,,,3,3534,2,0,1
174,559635,,,3,1162,2,1,0
175,47926,CamelAI,,2,830,0,0,0
176,493630,metamath,,2,825,0,0,0
177,107926,CamelAI,,2,3472,0,0,0
178,957971,,,2,1767,0,1,1
179,517227,,,3,2508,2,1,0
180,707963,,,2,185,0,0,0
181,7080,airoboros2.2,cot,2,2719,0,1,1
182,343024,glaive-code-assist,,2,1296,0,1,1
183,841865,,,2,2030,0,0,0
184,552781,,,3,869,1,1,0
185,865256,,,3,857,2,1,1
186,997030,,,2,4353,2,1,1
187,253329,glaive-code-assist,,2,764,0,1,1
188,634329,,,3,1623,2,1,0
189,372673,glaive-code-assist,,2,658,0,1,0
190,792243,,,2,14070,1,0,0
191,784795,,,2,1417,2,1,0
192,486909,metamath,,2,870,0,0,1
193,932517,platypus,,2,598,0,0,1
194,84023,CamelAI,,2,2076,0,0,0
195,216859,glaive-code-assist,,2,1700,0,1,1
196,400566,GPT-4 Comparison Data,,2,651,0,0,1
197,218463,glaive-code-assist,,2,1472,0,0,0
198,942675,UnnaturalInstructions,,2,296,0,0,0
199,515424,,,3,1615,2,1,0
200,551317,,,3,880,0,1,0
201,421579,,,2,523,0,0,0
202,910028,,,3,1460,2,1,0
203,225817,glaive-code-assist,,2,2599,0,1,0
204,201899,EvolInstruct_70k,,2,515,0,0,0
205,88295,CamelAI,,2,1048,0,0,1
206,37461,CamelAI,,2,3269,0,0,0
207,243392,glaive-code-assist,,2,633,0,0,1
208,733604,,,3,1077,1,1,0
209,926443,platypus,,2,1600,0,0,1
210,201127,EvolInstruct_70k,,2,2266,0,1,1
211,873422,,,3,2547,2,1,0
212,976958,,,2,1544,0,1,1
213,991698,,,2,1458,0,1,0
214,902807,,,3,1912,2,1,0
215,283890,glaive-code-assist,,2,1414,0,1,0
216,641842,,,3,864,0,1,0
217,478704,metamath,,2,1075,0,0,0
218,224170,glaive-code-assist,,2,1777,0,1,0
219,99090,CamelAI,,2,1614,0,0,0
220,497230,metamath,,2,770,0,0,0
221,32074,airoboros2.2,multiple_choice,2,286,0,0,1
222,989451,,,2,2011,0,1,0
223,642628,,,3,581,1,0,0
224,157714,cot_alpaca_gpt4,,2,1300,0,0,0
225,360451,glaive-code-assist,,2,3321,0,1,1
226,244760,glaive-code-assist,,2,1798,0,1,0
227,845949,,,3,1135,2,1,0
228,912478,,,3,1660,1,0,0
229,621034,,,3,1868,1,1,0
230,520176,,,2,661,0,0,0
231,553174,,,3,2871,2,0,0
232,451779,metamath,,2,1524,0,0,0
233,957435,,,2,2961,0,1,0
234,884677,,,3,2131,2,1,0
235,730078,,,3,2492,1,1,0
236,97910,CamelAI,,2,1617,0,0,1
237,322166,glaive-code-assist,,2,1067,0,1,0
238,258468,glaive-code-assist,,2,970,0,0,1
239,33754,airoboros2.2,orca,2,966,0,0,1
240,560429,,,3,507,1,0,1
241,768596,,,3,653,2,1,1
242,928741,platypus,,2,381,0,0,1
243,962181,,,2,2418,0,0,1
244,414427,,,2,579,0,0,0
245,149955,cot_alpaca_gpt4,,2,687,0,1,0
246,11009,airoboros2.2,general,2,762,0,0,0
247,444433,CogStackMed,,2,1459,0,0,1
248,743051,,,2,212,0,0,1
249,391887,glaive-code-assist,,2,2206,2,1,1
250,434447,,,2,350,0,1,0
251,642676,,,2,297,0,1,1
252,709796,,,3,910,2,1,0
253,635435,,,3,2171,2,1,0
254,607202,,,3,1205,2,1,0
255,379820,glaive-code-assist,,2,8704,2,0,1
256,611361,,,3,1274,2,1,1
257,356052,glaive-code-assist,,2,3609,0,0,1
258,618177,,,3,1357,2,1,0
259,539170,,,3,1006,2,1,0
260,776910,,,2,417,0,0,1
261,583643,,,3,956,1,1,0
262,959887,,,2,2679,0,1,1
263,124274,cot_alpaca_gpt4,,2,1188,0,1,0
264,870430,,,3,1328,2,0,0
265,277180,glaive-code-assist,,2,759,0,1,0
266,362587,glaive-code-assist,,2,3255,1,1,1
267,195884,EvolInstruct_70k,,2,952,0,1,0
268,689632,,,3,1034,2,0,0
269,951860,,,2,1956,0,1,1
270,975757,,,2,985,0,1,1
271,297761,glaive-code-assist,,2,612,0,1,0
272,966066,,,2,2127,0,0,0
273,958668,,,2,2858,0,1,1
274,402895,GPT-4 Comparison Data,,2,1554,0,0,0
275,908318,,,3,1689,2,1,1
276,1000975,,,2,3360,0,1,1
277,106110,CamelAI,,2,3756,0,1,0
278,207768,EvolInstruct_70k,,2,147,0,1,1
279,998943,,,2,4669,0,1,1
280,222523,glaive-code-assist,,2,1607,0,1,1
281,32931,airoboros2.2,plan,2,1768,2,1,0
282,634477,,,3,1517,2,1,1
283,917243,platypus,,2,687,0,0,1
284,577602,,,3,379,1,0,0
285,707539,,,3,562,1,1,1
286,191167,EvolInstruct_70k,,2,1419,0,0,0
287,19331,airoboros2.2,roleplay,2,2054,0,1,0
288,395814,glaive-code-assist,,2,1099,0,1,1
289,259136,glaive-code-assist,,2,1617,0,1,0
290,852677,,,3,725,2,0,0
291,742137,,,3,3200,2,1,0
292,14993,airoboros2.2,roleplay,2,1026,0,1,0
293,518717,,,3,1049,1,1,0
294,673750,,,3,2446,2,1,0
295,839061,,,3,769,2,1,0
296,128509,cot_alpaca_gpt4,,2,95,0,0,1
297,548964,,,2,1568,0,0,0
298,693223,,,3,3340,1,0,0
299,492197,metamath,,2,900,0,0,1
300,68610,CamelAI,,2,1705,0,0,1
301,422078,,,2,594,0,1,1
302,178712,EvolInstruct_70k,,2,642,0,0,0
303,542293,,,3,10188,2,1,0
304,323165,glaive-code-assist,,2,1259,0,1,1
305,312826,glaive-code-assist,,2,1888,0,0,1
306,946222,UnnaturalInstructions,,2,544,0,0,1
307,1015,airoboros2.2,orca,2,1528,0,0,1
308,252599,glaive-code-assist,,2,1099,0,1,1
309,51984,CamelAI,,2,3372,0,1,1
310,739307,,,3,537,2,1,0
311,782280,,,3,1363,2,1,0
312,262715,glaive-code-assist,,2,1099,0,1,0
313,439580,,,2,859,0,1,0
314,790641,,,3,937,2,1,0
315,148093,cot_alpaca_gpt4,,2,482,0,1,0
316,981102,,,2,1116,0,1,1
317,482577,metamath,,2,1257,0,0,1
318,488349,metamath,,2,719,0,0,0
319,865066,,,3,1081,2,1,0
320,741654,,,3,2192,2,1,0
321,174992,EvolInstruct_70k,,2,1813,0,1,1
322,387884,glaive-code-assist,,2,1484,0,0,0
323,53021,CamelAI,,2,389,0,0,0
324,399403,GPT-4 Comparison Data,,2,132,0,1,0
325,660143,,,3,841,2,0,0
326,936764,platypus,,2,2333,0,1,0
327,652370,,,3,613,1,0,1
328,478711,metamath,,2,718,0,0,0
329,504387,,,3,1082,1,1,0
330,265826,glaive-code-assist,,2,2472,0,1,1
331,165546,EvolInstruct_70k,,2,245,0,0,1
332,182127,EvolInstruct_70k,,2,1578,0,1,0
333,526036,,,3,517,2,0,1
334,761324,,,3,2635,2,1,1
335,932197,platypus,,2,1144,0,1,0
336,183643,EvolInstruct_70k,,2,1455,0,0,0
337,967912,,,2,2681,0,1,1
338,345514,glaive-code-assist,,2,1385,0,0,0
339,579966,,,3,1030,2,1,1
340,204911,EvolInstruct_70k,,2,3487,0,0,1
341,252175,glaive-code-assist,,2,1574,0,1,1
342,381960,glaive-code-assist,,2,2714,0,1,1
343,7422,airoboros2.2,coding,2,4193,0,0,0
344,741571,,,3,1336,2,1,0
345,274844,glaive-code-assist,,2,1045,0,1,1
346,898555,,,3,1297,2,1,1
347,53358,CamelAI,,2,1154,0,1,1
348,675652,,,3,1679,2,1,0
349,14611,airoboros2.2,awareness,2,1563,0,1,0
350,935918,platypus,,2,883,0,1,0
351,989244,,,2,2924,0,1,1
352,318982,glaive-code-assist,,2,1699,0,1,1
353,144513,cot_alpaca_gpt4,,2,829,0,0,0
354,21095,airoboros2.2,general,2,367,0,0,1
355,525247,,,3,1002,2,1,0
356,594433,,,3,622,2,1,0
357,609462,,,3,1300,2,0,1
358,606497,,,3,704,2,1,1
359,29900,airoboros2.2,orca,2,495,0,0,1
360,233722,glaive-code-assist,,2,1618,0,1,1
361,469441,metamath,,2,415,0,0,0
362,711775,,,3,11948,1,0,0
363,121708,cot_alpaca_gpt4,,2,218,0,0,1
364,495206,metamath,,2,508,0,0,0
365,901968,,,3,3682,2,1,0
366,460700,metamath,,2,1017,0,0,1
367,533215,,,3,778,2,0,0
368,744768,,,3,1064,2,1,0
369,957017,,,2,8060,0,1,0
370,642292,,,3,2127,2,1,0
371,395334,glaive-code-assist,,2,706,0,0,0
372,438640,,,2,671,0,1,0
373,586681,,,3,464,2,0,0
374,220532,glaive-code-assist,,2,1930,0,0,1
375,342428,glaive-code-assist,,2,2568,0,1,1
376,992677,,,2,3518,0,1,1
377,197488,EvolInstruct_70k,,2,1154,0,1,0
378,254741,glaive-code-assist,,2,704,0,1,1
379,299418,glaive-code-assist,,2,1499,0,1,0
380,18318,airoboros2.2,trivia,3,236,2,1,1
381,985377,,,2,3366,0,1,1
382,703198,,,2,1815,0,1,0
383,856849,,,3,1570,2,1,0
384,405922,GPT-4 Comparison Data,,2,136,0,0,1
385,563052,,,3,665,2,1,0
386,961473,,,2,4694,0,1,1
387,40314,CamelAI,,2,3774,0,0,0
388,887063,,,3,1955,2,1,0
389,201690,EvolInstruct_70k,,2,1692,0,0,1
390,507136,,,3,6232,1,1,0
391,147468,cot_alpaca_gpt4,,2,730,0,0,1
392,494116,metamath,,2,673,0,0,0
393,320497,glaive-code-assist,,2,1047,0,1,1
394,125229,cot_alpaca_gpt4,,2,168,0,0,1
395,801737,,,2,1872,0,0,0
396,398195,GPT-4 Comparison Data,,2,374,0,0,0
397,952951,,,2,610,0,0,0
398,755762,,,3,4494,2,0,0
399,389630,glaive-code-assist,,2,2525,0,1,1
400,271526,glaive-code-assist,,2,193,0,1,1
401,29582,airoboros2.2,plan,2,1327,0,0,0
402,715687,,,3,1268,2,1,0
403,896200,,,3,857,2,1,0
404,115859,caseus_custom,,2,305,0,0,0
405,183719,EvolInstruct_70k,,2,280,0,0,1
406,957408,,,2,748,0,0,0
407,288212,glaive-code-assist,,2,1096,0,1,0
408,188550,EvolInstruct_70k,,2,3693,0,1,0
409,835064,,,3,989,2,0,0
410,231358,glaive-code-assist,,2,1782,0,1,1
411,278963,glaive-code-assist,,2,1406,0,0,0
412,998161,,,2,3332,0,1,0
413,169398,EvolInstruct_70k,,2,567,0,0,0
414,424494,,,2,596,0,1,0
415,772338,,,3,1482,2,1,0
416,334115,glaive-code-assist,,2,1410,0,1,1
417,582819,,,3,236,2,1,1
418,885391,,,3,1986,2,1,0
419,604429,,,2,979,0,0,0
420,392672,glaive-code-assist,,2,2288,0,1,1
421,761646,,,3,2261,2,1,0
422,74291,CamelAI,,2,1537,0,0,1
423,891518,,,3,1394,2,0,1
424,252916,glaive-code-assist,,2,1500,0,1,1
425,156631,cot_alpaca_gpt4,,2,575,0,0,1
426,164883,EvolInstruct_70k,,2,1288,0,1,0
427,775119,,,3,3403,1,1,0
428,334106,glaive-code-assist,,2,1028,0,1,0
429,249334,glaive-code-assist,,2,1303,0,0,0
430,727270,,,3,1823,1,1,0
431,639400,,,3,1813,2,1,0
432,509206,,,3,971,2,1,0
433,997456,,,2,3395,0,1,1
434,283637,glaive-code-assist,,2,2561,0,1,1
435,99769,CamelAI,,2,937,0,0,1
436,794091,,,3,791,2,1,0
437,790983,,,2,397,0,0,0
438,483236,metamath,,2,679,0,0,1
439,974374,,,2,2426,0,1,1
440,651462,,,3,910,2,1,1
441,681635,,,2,240,0,0,1
442,815207,,,3,2406,2,1,0
443,707122,,,3,841,1,1,1
444,877848,,,3,750,2,1,0
445,789087,,,3,1319,2,1,0
446,152405,cot_alpaca_gpt4,,2,141,0,1,1
447,682793,,,3,588,2,1,0
448,504096,,,3,825,2,1,0
449,884685,,,3,1693,1,0,0
450,452101,metamath,,2,397,0,0,0
451,592177,,,3,408,1,0,1
452,929671,platypus,,2,1353,0,0,0
453,784242,,,3,1056,2,1,0
454,61117,CamelAI,,2,2691,0,0,1
455,266433,glaive-code-assist,,2,945,0,1,1
456,664518,,,3,1225,2,1,0
457,652311,,,3,2396,2,1,0
458,920572,platypus,,2,1731,1,0,0
459,32699,airoboros2.2,writing,2,2962,0,1,1
460,958972,,,2,2422,0,1,1
461,459503,metamath,,2,1284,0,0,0
462,595057,,,3,2403,2,0,0
463,371539,glaive-code-assist,,2,2955,2,1,1
464,924754,platypus,,2,869,0,0,0
465,617880,,,3,1342,1,0,1
466,701055,,,3,1803,2,1,0
467,220954,glaive-code-assist,,2,1483,0,1,1
468,508541,,,3,1509,2,1,0
469,737330,,,3,827,2,1,0
470,735106,,,3,1463,2,1,0
471,665131,,,3,5166,1,1,0
472,984548,,,2,1938,0,1,0
473,963059,,,2,5091,0,1,0
474,674254,,,3,428,1,0,1
475,603846,,,3,1505,0,1,1
476,684732,,,3,898,2,1,0
477,546817,,,3,2795,0,1,0
478,745322,,,3,2925,2,0,0
479,14519,airoboros2.2,trivia,3,232,2,1,1
480,675061,,,3,420,2,0,1
481,292601,glaive-code-assist,,2,1469,0,1,0
482,73894,CamelAI,,2,1621,0,0,1
483,759834,,,3,496,2,0,0
484,839195,,,3,1656,2,1,0
485,774875,,,3,1650,2,1,0
486,541060,,,3,2655,0,0,0
487,193702,EvolInstruct_70k,,2,976,0,1,0
488,236006,glaive-code-assist,,2,2671,0,1,0
489,629512,,,2,2201,2,1,0
490,717766,,,3,2761,2,1,0
491,616499,,,3,398,2,0,0
492,908636,,,3,1210,2,1,0
493,724216,,,3,939,1,0,0
494,982091,,,2,2625,0,1,0
495,42110,CamelAI,,2,3091,0,1,1
496,253768,glaive-code-assist,,2,1542,0,1,0
497,484129,metamath,,2,1019,0,0,0
498,478690,metamath,,2,698,0,0,1
499,216348,glaive-code-assist,,2,1722,0,1,1
500,915523,,,3,1414,2,1,0
501,841281,,,3,4615,2,1,0
502,333705,glaive-code-assist,,2,1327,0,1,0
503,220695,glaive-code-assist,,2,1747,0,1,1
504,125385,cot_alpaca_gpt4,,2,96,0,0,1
505,558355,,,3,414,2,1,1
506,542626,,,3,1482,1,1,0
507,427238,,,2,304,0,0,1
508,220574,glaive-code-assist,,2,1437,0,1,1
509,42747,CamelAI,,2,3304,0,1,0
510,187902,EvolInstruct_70k,,2,2067,0,0,1
511,678180,,,3,3248,2,0,0
512,192068,EvolInstruct_70k,,2,2923,0,1,0
513,731892,,,3,1209,1,0,0
514,824462,,,3,8224,1,1,0
515,967273,,,2,2299,0,1,1
516,502298,metamath,,2,1354,0,1,0
517,840764,,,3,1997,2,1,0
518,404300,GPT-4 Comparison Data,,2,705,0,0,0
519,923052,platypus,,2,724,0,0,1
520,600876,,,3,1107,2,1,0
521,533914,,,3,1706,2,0,0
522,689414,,,3,2680,2,1,1
523,731022,,,3,642,2,0,1
524,290297,glaive-code-assist,,2,1503,0,1,1
525,868478,,,3,725,2,1,0
526,23136,airoboros2.2,trivia,3,202,2,1,1
527,623336,,,3,2452,2,1,0
528,425984,,,2,796,0,1,0
529,816837,,,3,3051,1,1,0
530,861628,,,3,1769,2,1,0
531,865496,,,3,1906,2,1,0
532,744720,,,3,2110,0,1,1
533,658734,,,3,842,2,1,0
534,525351,,,3,3755,1,1,0
535,949701,UnnaturalInstructions,,2,421,0,0,1
536,949239,UnnaturalInstructions,,2,260,2,0,0
537,462204,metamath,,2,997,0,0,0
538,240205,glaive-code-assist,,2,1274,0,0,0
539,597023,,,3,1133,1,1,1
540,263609,glaive-code-assist,,2,1586,0,1,1
541,179831,EvolInstruct_70k,,2,1507,0,1,0
542,529108,,,3,2275,2,0,0
543,864707,,,3,1790,2,1,0
544,213235,EvolInstruct_70k,,2,1947,0,1,0
545,433792,,,2,415,0,1,0
546,43752,CamelAI,,2,2177,0,0,1
547,986014,,,2,2255,0,1,0
548,215414,glaive-code-assist,,2,3199,0,1,1
549,102442,CamelAI,,2,3338,0,0,0
550,564360,,,3,2901,2,1,0
551,339112,glaive-code-assist,,2,495,0,0,1
552,837628,,,3,2498,0,1,0
553,529644,,,3,2635,0,0,0
554,854754,,,3,2969,2,0,0
555,889279,,,3,1046,2,1,0
556,312717,glaive-code-assist,,2,1619,0,1,0
557,692112,,,3,2360,2,1,1
558,2747,airoboros2.2,general,2,407,0,0,0
559,530547,,,3,682,2,0,0
560,510979,,,3,2417,2,0,0
561,108168,CamelAI,,2,3053,0,0,0
562,999774,,,2,1484,0,1,1
563,8964,airoboros2.2,trivia,3,184,2,1,1
564,315957,glaive-code-assist,,2,1213,0,1,0
565,330017,glaive-code-assist,,2,1079,0,0,0
566,457617,metamath,,2,461,0,0,1
567,346184,glaive-code-assist,,2,2827,0,1,1
568,827026,,,3,1801,2,1,0
569,868397,,,3,1401,2,0,0
570,667605,,,3,819,1,0,0
571,97209,CamelAI,,2,2217,0,0,1
572,56007,CamelAI,,2,522,0,0,0
573,319628,glaive-code-assist,,2,1625,0,1,0
574,558977,,,3,1042,2,1,0
575,600156,,,3,2956,1,1,0
576,463066,metamath,,2,928,0,0,0
577,257162,glaive-code-assist,,2,1306,0,0,1
578,655435,,,3,419,2,1,1
579,478088,metamath,,2,1181,0,1,1
580,475610,metamath,,2,679,0,0,0
581,481734,metamath,,2,781,0,0,0
582,451037,metamath,,2,389,0,0,0
583,657067,,,3,2569,2,1,0
584,689845,,,2,1566,0,0,0
585,561115,,,2,280,0,0,0
586,877690,,,3,1441,2,1,0
587,305239,glaive-code-assist,,2,596,0,1,1
588,625739,,,3,1020,1,1,0
589,172266,EvolInstruct_70k,,2,1679,0,0,0
590,644175,,,3,630,2,1,1
591,922395,platypus,,2,1163,0,0,0
592,17385,airoboros2.2,general,2,210,0,0,1
593,428588,,,2,516,0,0,1
594,793579,,,3,719,1,1,0
595,267878,glaive-code-assist,,2,1650,0,1,1
596,944096,UnnaturalInstructions,,2,155,0,0,1
597,692811,,,3,3657,2,1,0
598,178130,EvolInstruct_70k,,2,966,0,0,0
599,248398,glaive-code-assist,,2,1518,0,1,1
600,344820,glaive-code-assist,,2,4379,0,1,1
601,439476,,,2,759,0,1,0
602,165942,EvolInstruct_70k,,2,1194,0,0,0
603,422491,,,2,670,0,1,0
604,260363,glaive-code-assist,,2,1595,0,1,1
605,888142,,,3,2522,2,1,0
606,5353,airoboros2.2,roleplay,2,135,0,0,1
607,21277,airoboros2.2,trivia,3,191,2,1,1
608,596909,,,3,532,2,1,0
609,193844,EvolInstruct_70k,,2,1901,0,1,0
610,543919,,,3,405,1,0,1
611,663832,,,3,4110,2,1,1
612,440005,,,2,642,0,0,1
613,376634,glaive-code-assist,,2,8605,0,0,0
614,897131,,,3,1959,2,1,0
615,153629,cot_alpaca_gpt4,,2,1106,0,0,0
616,518332,,,3,2759,1,1,1
617,536138,,,2,252,0,0,1
618,843290,,,3,2324,2,1,0
619,656684,,,3,3165,2,1,1
620,323316,glaive-code-assist,,2,1985,0,0,1
621,609085,,,3,470,2,1,0
622,105362,CamelAI,,2,3052,0,1,1
623,661820,,,3,458,1,0,1
624,994706,,,2,2544,0,1,0
625,847209,,,3,488,1,0,0
626,95933,CamelAI,,2,1103,0,0,1
627,703700,,,3,2700,2,1,1
628,497767,metamath,,2,483,0,0,1
629,955881,,,2,475,0,1,1
630,11365,airoboros2.2,multiple_choice,2,272,0,0,0
631,661711,,,3,1205,0,1,0
632,391794,glaive-code-assist,,2,2213,0,1,1
633,376594,glaive-code-assist,,2,1149,2,1,1
634,138781,cot_alpaca_gpt4,,2,493,0,0,1
635,283495,glaive-code-assist,,2,1214,0,1,1
636,460645,metamath,,2,454,0,0,0
637,866541,,,3,2367,2,1,0
638,274618,glaive-code-assist,,2,1954,0,1,1
639,353973,glaive-code-assist,,2,3041,0,1,1
640,702694,,,3,3120,2,1,0
641,811019,,,3,3354,1,0,0
642,270489,glaive-code-assist,,2,1577,0,1,0
643,878681,,,3,2107,1,1,0
644,392113,glaive-code-assist,,2,1432,0,1,1
645,995640,,,2,4210,0,1,1
646,907218,,,3,788,2,1,0
647,437713,,,2,762,0,1,0
648,139150,cot_alpaca_gpt4,,2,945,0,0,0
649,413860,,,2,226,0,0,0
650,151152,cot_alpaca_gpt4,,2,1113,0,1,1
651,150538,cot_alpaca_gpt4,,2,373,0,0,0
652,709811,,,3,1850,1,1,0
653,675755,,,3,1324,2,0,0
654,156730,cot_alpaca_gpt4,,2,773,0,0,0
